Date,Vegetable,Price
2013-08-04,Nectarines,0.38
2013-08-04,Broccoli Bunches,1.2
2013-08-04,Peaches,0.42
2013-08-04,Broccoli Crowns,0.81
2013-08-04,Plums,0.47
2013-08-04,Cantaloupe,0.73
2013-08-04,Red Leaf Lettuce,0.36
2013-08-04,Carrots,0.3
2013-08-04,Romaine Lettuce,0.42
2013-08-04,Cauliflower,1.26
2013-08-04,Strawberries,1.03
2013-08-04,Celery,0.36
2013-07-28,Cantaloupe,0.48
2013-07-28,Red Leaf Lettuce,0.37
2013-07-28,Carrots,0.3
2013-07-28,Romaine Lettuce,0.54
2013-07-28,Cauliflower,1.67
2013-07-28,Strawberries,0.88
2013-07-28,Celery,0.4
2013-07-28,Thompson Grapes,0.79
2013-07-28,Flame Grapes,0.79
2013-07-28,Green Leaf Lettuce,0.58
2013-07-28,Honeydews,0.88
2013-07-28,Iceberg Lettuce,0.93
2013-07-28,Avocados,0.77
2013-07-28,Nectarines,0.38
2013-07-28,Broccoli Bunches,0.97
2013-07-28,Peaches,0.4
2013-07-28,Broccoli Crowns,0.82
2013-07-28,Plums,0.41
2013-07-21,Avocados,0.74
2013-07-21,Nectarines,0.38
2013-07-21,Broccoli Bunches,0.86
2013-07-21,Peaches,0.4
2013-07-21,Broccoli Crowns,0.71
2013-07-21,Plums,0.47
2013-07-21,Cantaloupe,0.4
2013-07-21,Potatoes,2.1
2013-07-21,Carrots,0.3
2013-07-21,Red Leaf Lettuce,0.38
2013-07-21,Cauliflower,1.58
2013-07-21,Romaine Lettuce,0.54
2013-07-21,Celery,0.44
2013-07-21,Strawberries,0.91
2013-07-21,Flame Grapes,0.78
2013-07-21,Green Leaf Lettuce,0.65
2013-07-21,Honeydews,0.88
2013-07-21,Iceberg Lettuce,0.86
2013-07-14,Green Leaf Lettuce,0.68
2013-07-14,Honeydews,0.88
2013-07-14,Iceberg Lettuce,0.62
2013-07-14,Nectarines,0.38
2013-07-14,Peaches,0.4
2013-07-14,Plums,0.52
2013-07-14,Potatoes,2.05
2013-07-14,Red Leaf Lettuce,0.37
2013-07-14,Romaine Lettuce,0.46
2013-07-14,Strawberries,0.88
2013-07-14,Flame Grapes,0.79
2013-07-14,Avocados,0.51
2013-07-14,Broccoli Bunches,0.61
2013-07-14,Broccoli Crowns,0.47
2013-07-14,Cantaloupe,0.46
2013-07-14,Carrots,0.3
2013-07-14,Cauliflower,0.81
2013-07-14,Celery,0.45
2013-07-07,Cantaloupe,0.4
2013-07-07,Red Leaf Lettuce,0.34
2013-07-07,Carrots,0.3
2013-07-07,Romaine Lettuce,0.41
2013-07-07,Cauliflower,0.77
2013-07-07,Strawberries,0.97
2013-07-07,Celery,0.46
2013-07-07,Green Leaf Lettuce,0.61
2013-07-07,Honeydews,0.83
2013-07-07,Iceberg Lettuce,0.53
2013-07-07,Nectarines,0.42
2013-07-07,Avocados,0.77
2013-07-07,Peaches,0.4
2013-07-07,Broccoli Bunches,0.64
2013-07-07,Plums,0.59
2013-07-07,Broccoli Crowns,0.46
2013-07-07,Potatoes,1.7
2013-06-30,Iceberg Lettuce,0.43
2013-06-30,Nectarines,0.46
2013-06-30,Avocados,0.77
2013-06-30,Peaches,0.46
2013-06-30,Broccoli Bunches,0.66
2013-06-30,Plums,0.63
2013-06-30,Broccoli Crowns,0.48
2013-06-30,Potatoes,1.26
2013-06-30,Cantaloupe,0.44
2013-06-30,Red Leaf Lettuce,0.32
2013-06-30,Carrots,0.3
2013-06-30,Romaine Lettuce,0.4
2013-06-30,Cauliflower,1.16
2013-06-30,Strawberries,1.09
2013-06-30,Celery,0.43
2013-06-30,Green Leaf Lettuce,0.44
2013-06-30,Honeydews,0.9
2013-06-23,Celery,0.42
2013-06-23,Strawberries,1.13
2013-06-23,Flame Grapes,0.86
2013-06-23,Green Leaf Lettuce,0.38
2013-06-23,Honeydews,0.96
2013-06-23,Iceberg Lettuce,0.41
2013-06-23,Avocados,0.76
2013-06-23,Nectarines,0.46
2013-06-23,Broccoli Bunches,0.66
2013-06-23,Peaches,0.52
2013-06-23,Broccoli Crowns,0.52
2013-06-23,Plums,0.7
2013-06-23,Cantaloupe,0.59
2013-06-23,Potatoes,1.2
2013-06-23,Carrots,0.29
2013-06-23,Red Leaf Lettuce,0.32
2013-06-23,Cauliflower,1.42
2013-06-23,Romaine Lettuce,0.41
2013-06-16,Plums,0.86
2013-06-16,Carrots,0.29
2013-06-16,Potatoes,1
2013-06-16,Cauliflower,1.26
2013-06-16,Red Leaf Lettuce,0.33
2013-06-16,Celery,0.35
2013-06-16,Romaine Lettuce,0.4
2013-06-16,Flame Grapes,0.89
2013-06-16,Strawberries,1.06
2013-06-16,Green Leaf Lettuce,0.37
2013-06-16,Honeydews,0.96
2013-06-16,Iceberg Lettuce,0.51
2013-06-16,Avocados,0.76
2013-06-16,Nectarines,0.58
2013-06-16,Broccoli Bunches,0.6
2013-06-16,Oranges,0.54
2013-06-16,Broccoli Crowns,0.46
2013-06-16,Peaches,0.56
2013-06-16,Cantaloupe,0.56
2013-06-09,Broccoli Bunches,0.7
2013-06-09,Oranges,0.54
2013-06-09,Broccoli Crowns,0.48
2013-06-09,Peaches,0.64
2013-06-09,Cantaloupe,0.6
2013-06-09,Plums,0.95
2013-06-09,Carrots,0.3
2013-06-09,Potatoes,0.8
2013-06-09,Cauliflower,1.25
2013-06-09,Red Leaf Lettuce,0.29
2013-06-09,Celery,0.55
2013-06-09,Romaine Lettuce,0.35
2013-06-09,Flame Grapes,0.89
2013-06-09,Strawberries,1
2013-06-09,Green Leaf Lettuce,0.32
2013-06-09,Honeydews,0.88
2013-06-09,Iceberg Lettuce,0.43
2013-06-09,Avocados,0.77
2013-06-09,Nectarines,0.66
2013-06-02,Romaine Lettuce,0.28
2013-06-02,Strawberries,0.97
2013-06-02,Honeydews,0.96
2013-06-02,Iceberg Lettuce,0.46
2013-06-02,Avocados,0.77
2013-06-02,Nectarines,0.7
2013-06-02,Broccoli Bunches,0.84
2013-06-02,Oranges,0.52
2013-06-02,Broccoli Crowns,0.65
2013-06-02,Peaches,0.66
2013-06-02,Cantaloupe,0.56
2013-06-02,Potatoes,0.7
2013-06-02,Carrots,0.3
2013-06-02,Red Leaf Lettuce,0.26
2013-06-02,Cauliflower,1.26
2013-06-02,Celery,0.53
2013-06-02,Flame Grapes,0.92
2013-06-02,Green Leaf Lettuce,0.27
2013-05-26,Cantaloupe,0.54
2013-05-26,Romaine Lettuce,0.27
2013-05-26,Carrots,0.3
2013-05-26,Strawberries,0.97
2013-05-26,Cauliflower,1.23
2013-05-26,Celery,0.8
2013-05-26,Flame Grapes,1.03
2013-05-26,Green Leaf Lettuce,0.26
2013-05-26,Honeydews,1.19
2013-05-26,Iceberg Lettuce,0.28
2013-05-26,Avocados,0.78
2013-05-26,Oranges,0.51
2013-05-26,Broccoli Bunches,0.89
2013-05-26,Potatoes,0.7
2013-05-26,Broccoli Crowns,0.66
2013-05-26,Red Leaf Lettuce,0.26
2013-05-19,Honeydews,1.46
2013-05-19,Iceberg Lettuce,0.3
2013-05-19,Avocados,0.77
2013-05-19,Oranges,0.48
2013-05-19,Broccoli Bunches,0.78
2013-05-19,Potatoes,0.7
2013-05-19,Broccoli Crowns,0.56
2013-05-19,Red Leaf Lettuce,0.27
2013-05-19,Cantaloupe,0.62
2013-05-19,Romaine Lettuce,0.27
2013-05-19,Carrots,0.3
2013-05-19,Strawberries,1.13
2013-05-19,Cauliflower,0.97
2013-05-19,Celery,1.19
2013-05-19,Flame Grapes,1.25
2013-05-19,Green Leaf Lettuce,0.27
2013-05-12,Broccoli Bunches,0.68
2013-05-12,Romaine Lettuce,0.27
2013-05-12,Broccoli Crowns,0.53
2013-05-12,Strawberries,1.19
2013-05-12,Cantaloupe,0.89
2013-05-12,Carrots,0.3
2013-05-12,Cauliflower,0.8
2013-05-12,Celery,1.28
2013-05-12,Green Leaf Lettuce,0.27
2013-05-12,Iceberg Lettuce,0.28
2013-05-12,Oranges,0.44
2013-05-12,Asparagus,2.06
2013-05-12,Potatoes,0.63
2013-05-12,Avocados,0.73
2013-05-12,Red Leaf Lettuce,0.26
2013-05-05,Celery,1.13
2013-05-05,Green Leaf Lettuce,0.28
2013-05-05,Iceberg Lettuce,0.27
2013-05-05,Oranges,0.42
2013-05-05,Potatoes,0.63
2013-05-05,Asparagus,2.2
2013-05-05,Red Leaf Lettuce,0.26
2013-05-05,Avocados,0.69
2013-05-05,Romaine Lettuce,0.28
2013-05-05,Broccoli Bunches,0.52
2013-05-05,Strawberries,1.02
2013-05-05,Broccoli Crowns,0.39
2013-05-05,Carrots,0.3
2013-05-05,Cauliflower,0.66
2013-04-28,Oranges,0.39
2013-04-28,Potatoes,0.65
2013-04-28,Asparagus,2.13
2013-04-28,Red Leaf Lettuce,0.3
2013-04-28,Avocados,0.68
2013-04-28,Romaine Lettuce,0.28
2013-04-28,Broccoli Bunches,0.48
2013-04-28,Strawberries,0.77
2013-04-28,Broccoli Crowns,0.38
2013-04-28,Carrots,0.53
2013-04-28,Cauliflower,0.74
2013-04-28,Celery,1.15
2013-04-28,Green Leaf Lettuce,0.31
2013-04-28,Iceberg Lettuce,0.27
2013-04-21,Romaine Lettuce,0.29
2013-04-21,Strawberries,0.83
2013-04-21,Cauliflower,1.67
2013-04-21,Celery,0.96
2013-04-21,Green Leaf Lettuce,0.29
2013-04-21,Iceberg Lettuce,0.38
2013-04-21,Oranges,0.38
2013-04-21,Potatoes,0.65
2013-04-21,Red Leaf Lettuce,0.29
2013-04-21,Broccoli Bunches,0.52
2013-04-21,Broccoli Crowns,0.41
2013-04-21,Carrots,0.3
2013-04-21,Asparagus,1.95
2013-04-21,Avocados,0.68
2013-04-14,Cauliflower,1.61
2013-04-14,Celery,0.48
2013-04-14,Green Leaf Lettuce,0.3
2013-04-14,Iceberg Lettuce,0.47
2013-04-14,Oranges,0.38
2013-04-14,Potatoes,0.65
2013-04-14,Asparagus,1.54
2013-04-14,Red Leaf Lettuce,0.29
2013-04-14,Avocados,0.68
2013-04-14,Romaine Lettuce,0.3
2013-04-14,Broccoli Bunches,0.5
2013-04-14,Strawberries,0.79
2013-04-14,Broccoli Crowns,0.38
2013-04-14,Carrots,0.3
2013-04-07,Iceberg Lettuce,0.29
2013-04-07,Oranges,0.36
2013-04-07,Potatoes,0.65
2013-04-07,Asparagus,1.03
2013-04-07,Red Leaf Lettuce,0.28
2013-04-07,Avocados,0.67
2013-04-07,Romaine Lettuce,0.28
2013-04-07,Broccoli Bunches,0.56
2013-04-07,Strawberries,0.8
2013-04-07,Broccoli Crowns,0.46
2013-04-07,Carrots,0.3
2013-04-07,Cauliflower,1.49
2013-04-07,Celery,0.34
2013-04-07,Green Leaf Lettuce,0.28
2013-03-31,Avocados,0.67
2013-03-31,Romaine Lettuce,0.29
2013-03-31,Broccoli Bunches,0.82
2013-03-31,Strawberries,0.81
2013-03-31,Broccoli Crowns,0.84
2013-03-31,Carrots,0.31
2013-03-31,Cauliflower,1.55
2013-03-31,Celery,0.37
2013-03-31,Green Leaf Lettuce,0.27
2013-03-31,Iceberg Lettuce,0.31
2013-03-31,Oranges,0.34
2013-03-31,Potatoes,0.65
2013-03-31,Asparagus,1.06
2013-03-31,Red Leaf Lettuce,0.27
2013-03-24,Carrots,0.31
2013-03-24,Cauliflower,1.22
2013-03-24,Celery,0.48
2013-03-24,Green Leaf Lettuce,0.3
2013-03-24,Iceberg Lettuce,0.5
2013-03-24,Oranges,0.34
2013-03-24,Potatoes,0.65
2013-03-24,Red Leaf Lettuce,0.29
2013-03-24,Avocados,0.67
2013-03-24,Romaine Lettuce,0.42
2013-03-24,Broccoli Bunches,0.51
2013-03-24,Strawberries,1
2013-03-24,Broccoli Crowns,0.51
2013-03-17,Green Leaf Lettuce,0.37
2013-03-17,Iceberg Lettuce,1.37
2013-03-17,Oranges,0.33
2013-03-17,Potatoes,0.8
2013-03-17,Red Leaf Lettuce,0.34
2013-03-17,Avocados,0.68
2013-03-17,Romaine Lettuce,0.98
2013-03-17,Broccoli Bunches,0.45
2013-03-17,Strawberries,1.5
2013-03-17,Broccoli Crowns,0.35
2013-03-17,Carrots,0.31
2013-03-17,Cauliflower,1.02
2013-03-17,Celery,0.7
2013-03-10,Oranges,0.32
2013-03-10,Potatoes,0.8
2013-03-10,Red Leaf Lettuce,0.36
2013-03-10,Avocados,0.62
2013-03-10,Romaine Lettuce,1.48
2013-03-10,Broccoli Bunches,0.51
2013-03-10,Strawberries,1.69
2013-03-10,Broccoli Crowns,0.42
2013-03-10,Carrots,0.31
2013-03-10,Cauliflower,0.94
2013-03-10,Celery,0.81
2013-03-10,Green Leaf Lettuce,0.44
2013-03-10,Iceberg Lettuce,1.32
2013-03-03,Red Leaf Lettuce,0.37
2013-03-03,Romaine Lettuce,1.16
2013-03-03,Broccoli Bunches,0.64
2013-03-03,Strawberries,1.69
2013-03-03,Broccoli Crowns,0.59
2013-03-03,Carrots,0.31
2013-03-03,Cauliflower,0.96
2013-03-03,Celery,0.72
2013-03-03,Green Leaf Lettuce,0.35
2013-03-03,Iceberg Lettuce,0.69
2013-03-03,Oranges,0.31
2013-03-03,Potatoes,0.8
2013-02-24,Strawberries,1.66
2013-02-24,Romaine Lettuce,1.15
2013-02-24,Broccoli Bunches,0.81
2013-02-24,Broccoli Crowns,0.7
2013-02-24,Carrots,0.31
2013-02-24,Cauliflower,1
2013-02-24,Celery,0.76
2013-02-24,Green Leaf Lettuce,0.4
2013-02-24,Iceberg Lettuce,0.68
2013-02-24,Oranges,0.29
2013-02-24,Potatoes,0.85
2013-02-24,Red Leaf Lettuce,0.37
2013-02-17,Broccoli Crowns,0.71
2013-02-17,Carrots,0.29
2013-02-17,Cauliflower,1.15
2013-02-17,Celery,1.03
2013-02-17,Green Leaf Lettuce,0.38
2013-02-17,Iceberg Lettuce,0.55
2013-02-17,Oranges,0.28
2013-02-17,Potatoes,0.85
2013-02-17,Red Leaf Lettuce,0.37
2013-02-17,Romaine Lettuce,0.94
2013-02-17,Broccoli Bunches,0.83
2013-02-17,Strawberries,1.63
2013-02-10,Cauliflower,0.87
2013-02-10,Celery,1.35
2013-02-10,Green Leaf Lettuce,0.48
2013-02-10,Iceberg Lettuce,0.36
2013-02-10,Oranges,0.28
2013-02-10,Potatoes,0.85
2013-02-10,Red Leaf Lettuce,0.47
2013-02-10,Romaine Lettuce,1.05
2013-02-10,Broccoli Bunches,0.5
2013-02-10,Strawberries,1.5
2013-02-10,Broccoli Crowns,0.41
2013-02-10,Carrots,0.29
2013-02-03,Celery,1.43
2013-02-03,Green Leaf Lettuce,0.77
2013-02-03,Iceberg Lettuce,0.68
2013-02-03,Oranges,0.28
2013-02-03,Potatoes,0.85
2013-02-03,Red Leaf Lettuce,0.81
2013-02-03,Romaine Lettuce,1.37
2013-02-03,Broccoli Bunches,0.49
2013-02-03,Strawberries,1.5
2013-02-03,Broccoli Crowns,0.39
2013-02-03,Carrots,0.29
2013-02-03,Cauliflower,0.7
2013-01-27,Green Leaf Lettuce,0.95
2013-01-27,Iceberg Lettuce,1.12
2013-01-27,Oranges,0.28
2013-01-27,Potatoes,0.8
2013-01-27,Red Leaf Lettuce,0.98
2013-01-27,Romaine Lettuce,1.44
2013-01-27,Broccoli Bunches,0.78
2013-01-27,Strawberries,1.38
2013-01-27,Broccoli Crowns,0.63
2013-01-27,Carrots,0.29
2013-01-27,Cauliflower,0.88
2013-01-27,Celery,1.43
2013-01-20,Oranges,0.29
2013-01-20,Potatoes,0.9
2013-01-20,Red Leaf Lettuce,1.01
2013-01-20,Romaine Lettuce,1.26
2013-01-20,Broccoli Bunches,1.76
2013-01-20,Strawberries,0.94
2013-01-20,Broccoli Crowns,1.38
2013-01-20,Carrots,0.29
2013-01-20,Cauliflower,1.97
2013-01-20,Celery,1.09
2013-01-20,Green Leaf Lettuce,0.95
2013-01-20,Iceberg Lettuce,0.99
2013-01-13,Potatoes,0.9
2013-01-13,Red Leaf Lettuce,1.11
2013-01-13,Romaine Lettuce,1.31
2013-01-13,Broccoli Bunches,2.06
2013-01-13,Strawberries,1.5
2013-01-13,Broccoli Crowns,1.5
2013-01-13,Carrots,0.27
2013-01-13,Cauliflower,2.21
2013-01-13,Celery,0.97
2013-01-13,Green Leaf Lettuce,1.1
2013-01-13,Iceberg Lettuce,0.93
2013-01-13,Oranges,0.26
2013-01-06,Red Leaf Lettuce,0.9
2013-01-06,Romaine Lettuce,1.02
2013-01-06,Broccoli Bunches,1.49
2013-01-06,Strawberries,1.75
2013-01-06,Broccoli Crowns,1.23
2013-01-06,Carrots,0.27
2013-01-06,Cauliflower,1.56
2013-01-06,Celery,0.67
2013-01-06,Green Leaf Lettuce,0.9
2013-01-06,Iceberg Lettuce,0.82
2013-01-06,Oranges,0.32
2013-01-06,Potatoes,0.9
2012-12-30,Strawberries,2.13
2012-12-30,Iceberg Lettuce,0.39
2012-12-30,Oranges,0.34
2012-12-30,Potatoes,0.95
2012-12-30,Red Leaf Lettuce,0.42
2012-12-30,Romaine Lettuce,0.51
2012-12-30,Broccoli Bunches,0.87
2012-12-30,Broccoli Crowns,0.8
2012-12-30,Carrots,0.27
2012-12-30,Cauliflower,0.78
2012-12-30,Celery,0.57
2012-12-30,Green Leaf Lettuce,0.41
2012-12-23,Broccoli Crowns,0.55
2012-12-23,Carrots,0.27
2012-12-23,Cauliflower,0.82
2012-12-23,Celery,0.57
2012-12-23,Green Leaf Lettuce,0.29
2012-12-23,Iceberg Lettuce,0.24
2012-12-23,Oranges,0.34
2012-12-23,Potatoes,1
2012-12-23,Red Leaf Lettuce,0.29
2012-12-23,Romaine Lettuce,0.29
2012-12-23,Broccoli Bunches,0.66
2012-12-23,Strawberries,2.63
2012-12-16,Cauliflower,0.9
2012-12-16,Celery,0.55
2012-12-16,Green Leaf Lettuce,0.29
2012-12-16,Iceberg Lettuce,0.24
2012-12-16,Oranges,0.34
2012-12-16,Potatoes,1
2012-12-16,Red Leaf Lettuce,0.28
2012-12-16,Romaine Lettuce,0.3
2012-12-16,Broccoli Bunches,0.51
2012-12-16,Strawberries,2.88
2012-12-16,Broccoli Crowns,0.43
2012-12-16,Carrots,0.27
2012-12-09,Flame Grapes,1.22
2012-12-09,Green Leaf Lettuce,0.27
2012-12-09,Iceberg Lettuce,0.24
2012-12-09,Oranges,0.37
2012-12-09,Potatoes,1
2012-12-09,Red Leaf Lettuce,0.26
2012-12-09,Broccoli Bunches,0.43
2012-12-09,Romaine Lettuce,0.28
2012-12-09,Broccoli Crowns,0.32
2012-12-09,Strawberries,2.88
2012-12-09,Carrots,0.27
2012-12-09,Cauliflower,0.77
2012-12-09,Celery,0.57
2012-12-02,Iceberg Lettuce,0.26
2012-12-02,Oranges,0.39
2012-12-02,Potatoes,0.95
2012-12-02,Red Leaf Lettuce,0.28
2012-12-02,Broccoli Bunches,0.41
2012-12-02,Romaine Lettuce,0.3
2012-12-02,Broccoli Crowns,0.33
2012-12-02,Strawberries,2.81
2012-12-02,Carrots,0.27
2012-12-02,Cauliflower,0.94
2012-12-02,Celery,0.57
2012-12-02,Flame Grapes,1.19
2012-12-02,Green Leaf Lettuce,0.28
2012-11-25,Broccoli Bunches,0.53
2012-11-25,Romaine Lettuce,0.38
2012-11-25,Broccoli Crowns,0.41
2012-11-25,Strawberries,2.5
2012-11-25,Carrots,0.27
2012-11-25,Tomatoes,0.7
2012-11-25,Cauliflower,1.32
2012-11-25,Celery,0.5
2012-11-25,Flame Grapes,1.19
2012-11-25,Green Leaf Lettuce,0.34
2012-11-25,Iceberg Lettuce,0.44
2012-11-25,Oranges,0.39
2012-11-25,Potatoes,0.95
2012-11-25,Red Leaf Lettuce,0.32
2012-11-18,Cauliflower,1.39
2012-11-18,Celery,0.51
2012-11-18,Flame Grapes,1.19
2012-11-18,Green Leaf Lettuce,0.33
2012-11-18,Iceberg Lettuce,0.53
2012-11-18,Oranges,0.45
2012-11-18,Potatoes,0.9
2012-11-18,Red Leaf Lettuce,0.32
2012-11-18,Broccoli Bunches,0.68
2012-11-18,Romaine Lettuce,0.39
2012-11-18,Broccoli Crowns,0.53
2012-11-18,Strawberries,2.38
2012-11-18,Carrots,0.27
2012-11-18,Tomatoes,0.7
2012-11-11,Iceberg Lettuce,0.45
2012-11-11,Oranges,0.47
2012-11-11,Broccoli Bunches,0.68
2012-11-11,Potatoes,0.9
2012-11-11,Broccoli Crowns,0.52
2012-11-11,Red Leaf Lettuce,0.3
2012-11-11,Cantaloupe,1.08
2012-11-11,Romaine Lettuce,0.41
2012-11-11,Carrots,0.26
2012-11-11,Strawberries,2.08
2012-11-11,Cauliflower,1.21
2012-11-11,Tomatoes,0.65
2012-11-11,Celery,0.56
2012-11-11,Flame Grapes,1.19
2012-11-11,Green Leaf Lettuce,0.31
2012-11-11,Honeydews,0.92
2012-11-04,Cantaloupe,1
2012-11-04,Strawberries,1.75
2012-11-04,Carrots,0.26
2012-11-04,Tomatoes,0.65
2012-11-04,Cauliflower,0.81
2012-11-04,Celery,0.44
2012-11-04,Flame Grapes,1.16
2012-11-04,Green Leaf Lettuce,0.3
2012-11-04,Honeydews,1
2012-11-04,Iceberg Lettuce,0.35
2012-11-04,Oranges,0.49
2012-11-04,Broccoli Bunches,0.56
2012-11-04,Red Leaf Lettuce,0.3
2012-11-04,Broccoli Crowns,0.43
2012-11-04,Romaine Lettuce,0.39
2012-10-28,Green Leaf Lettuce,0.32
2012-10-28,Honeydews,1.25
2012-10-28,Iceberg Lettuce,0.38
2012-10-28,Potatoes,0.93
2012-10-28,Broccoli Bunches,0.56
2012-10-28,Red Leaf Lettuce,0.3
2012-10-28,Broccoli Crowns,0.48
2012-10-28,Romaine Lettuce,0.39
2012-10-28,Cantaloupe,1
2012-10-28,Strawberries,1.58
2012-10-28,Carrots,0.26
2012-10-28,Tomatoes,0.55
2012-10-28,Cauliflower,0.72
2012-10-28,Celery,0.4
2012-10-28,Flame Grapes,1.16
2012-10-21,Red Leaf Lettuce,0.29
2012-10-21,Broccoli Bunches,0.49
2012-10-21,Romaine Lettuce,0.32
2012-10-21,Broccoli Crowns,0.41
2012-10-21,Strawberries,1.46
2012-10-21,Cantaloupe,1.12
2012-10-21,Tomatoes,0.6
2012-10-21,Carrots,0.26
2012-10-21,Cauliflower,0.59
2012-10-21,Celery,0.37
2012-10-21,Flame Grapes,1.11
2012-10-21,Green Leaf Lettuce,0.29
2012-10-21,Honeydews,1.29
2012-10-21,Iceberg Lettuce,0.44
2012-10-14,Tomatoes,0.55
2012-10-14,Carrots,0.26
2012-10-14,Cauliflower,0.54
2012-10-14,Celery,0.35
2012-10-14,Flame Grapes,1.11
2012-10-14,Green Leaf Lettuce,0.27
2012-10-14,Honeydews,1.62
2012-10-14,Iceberg Lettuce,0.36
2012-10-14,Red Leaf Lettuce,0.28
2012-10-14,Broccoli Bunches,0.43
2012-10-14,Romaine Lettuce,0.3
2012-10-14,Broccoli Crowns,0.41
2012-10-14,Strawberries,1.29
2012-10-14,Cantaloupe,1.33
2012-10-07,Flame Grapes,1.01
2012-10-07,Green Leaf Lettuce,0.28
2012-10-07,Honeydews,1.5
2012-10-07,Iceberg Lettuce,0.31
2012-10-07,Avocados,0.59
2012-10-07,Red Leaf Lettuce,0.27
2012-10-07,Broccoli Bunches,0.48
2012-10-07,Romaine Lettuce,0.3
2012-10-07,Broccoli Crowns,0.41
2012-10-07,Strawberries,1.29
2012-10-07,Cantaloupe,0.73
2012-10-07,Tomatoes,0.55
2012-10-07,Carrots,0.26
2012-10-07,Cauliflower,0.69
2012-10-07,Celery,0.41
2012-09-30,Red Leaf Lettuce,0.28
2012-09-30,Broccoli Crowns,0.43
2012-09-30,Romaine Lettuce,0.31
2012-09-30,Cantaloupe,0.74
2012-09-30,Strawberries,1.23
2012-09-30,Carrots,0.26
2012-09-30,Tomatoes,0.4
2012-09-30,Cauliflower,0.79
2012-09-30,Celery,0.5
2012-09-30,Flame Grapes,0.98
2012-09-30,Green Leaf Lettuce,0.29
2012-09-30,Honeydews,1.23
2012-09-30,Iceberg Lettuce,0.31
2012-09-30,Avocados,0.57
2012-09-30,Plums,0.75
2012-09-30,Broccoli Bunches,0.48
2012-09-23,Green Leaf Lettuce,0.26
2012-09-23,Honeydews,1.17
2012-09-23,Iceberg Lettuce,0.38
2012-09-23,Peaches,0.6
2012-09-23,Plums,0.75
2012-09-23,Red Leaf Lettuce,0.3
2012-09-23,Romaine Lettuce,0.34
2012-09-23,Strawberries,1.25
2012-09-23,Tomatoes,0.4
2012-09-23,Celery,0.54
2012-09-23,Flame Grapes,0.9
2012-09-23,Avocados,0.56
2012-09-23,Broccoli Bunches,0.55
2012-09-23,Broccoli Crowns,0.47
2012-09-23,Cantaloupe,0.88
2012-09-23,Carrots,0.26
2012-09-23,Cauliflower,0.71
2012-09-16,Romaine Lettuce,0.39
2012-09-16,Carrots,0.26
2012-09-16,Strawberries,1.25
2012-09-16,Cauliflower,0.73
2012-09-16,Tomatoes,0.45
2012-09-16,Celery,0.56
2012-09-16,Flame Grapes,0.85
2012-09-16,Green Leaf Lettuce,0.33
2012-09-16,Honeydews,1.08
2012-09-16,Iceberg Lettuce,0.44
2012-09-16,Avocados,0.56
2012-09-16,Peaches,0.6
2012-09-16,Broccoli Bunches,0.64
2012-09-16,Plums,0.7
2012-09-16,Broccoli Crowns,0.53
2012-09-16,Red Leaf Lettuce,0.33
2012-09-16,Cantaloupe,0.83
2012-09-09,Broccoli Bunches,0.82
2012-09-09,Peaches,0.56
2012-09-09,Broccoli Crowns,0.72
2012-09-09,Plums,0.7
2012-09-09,Cantaloupe,0.73
2012-09-09,Red Leaf Lettuce,0.42
2012-09-09,Carrots,0.25
2012-09-09,Romaine Lettuce,0.48
2012-09-09,Cauliflower,1.16
2012-09-09,Strawberries,1.19
2012-09-09,Celery,0.61
2012-09-09,Thompson Grapes,0.85
2012-09-09,Flame Grapes,0.85
2012-09-09,Tomatoes,0.65
2012-09-09,Green Leaf Lettuce,0.4
2012-09-09,Honeydews,0.92
2012-09-09,Iceberg Lettuce,0.47
2012-09-09,Avocados,0.56
2012-09-09,Nectarines,0.62
2012-09-02,Honeydews,1.08
2012-09-02,Iceberg Lettuce,0.34
2012-09-02,Nectarines,0.62
2012-09-02,Avocados,0.56
2012-09-02,Peaches,0.56
2012-09-02,Broccoli Bunches,0.52
2012-09-02,Red Leaf Lettuce,0.42
2012-09-02,Broccoli Crowns,0.43
2012-09-02,Romaine Lettuce,0.44
2012-09-02,Cantaloupe,0.54
2012-09-02,Strawberries,1.06
2012-09-02,Carrots,0.25
2012-09-02,Thompson Grapes,0.72
2012-09-02,Cauliflower,0.65
2012-09-02,Tomatoes,0.52
2012-09-02,Celery,0.63
2012-09-02,Green Leaf Lettuce,0.43
2012-08-26,Carrots,0.26
2012-08-26,Strawberries,1.03
2012-08-26,Cauliflower,0.52
2012-08-26,Thompson Grapes,0.74
2012-08-26,Celery,0.64
2012-08-26,Tomatoes,0.4
2012-08-26,Flame Grapes,0.69
2012-08-26,Green Leaf Lettuce,0.48
2012-08-26,Honeydews,1.13
2012-08-26,Asparagus,1.04
2012-08-26,Iceberg Lettuce,0.35
2012-08-26,Avocados,0.58
2012-08-26,Nectarines,0.62
2012-08-26,Broccoli Bunches,0.48
2012-08-26,Peaches,0.56
2012-08-26,Broccoli Crowns,0.38
2012-08-26,Red Leaf Lettuce,0.47
2012-08-26,Cantaloupe,0.54
2012-08-26,Romaine Lettuce,0.53
2012-08-19,Broccoli Bunches,0.51
2012-08-19,Peaches,0.56
2012-08-19,Broccoli Crowns,0.41
2012-08-19,Red Leaf Lettuce,0.56
2012-08-19,Cantaloupe,0.95
2012-08-19,Romaine Lettuce,0.76
